본부명,지사명,노선명,구간,방 향,5km,cnt,사고율,반기,노선명,노선코드,lat,lon
강원,이천,영동선,55~60,서창,55,5,0.5,중복,영동선,500,37.24775218,127.2353995
강원,이천,영동선,60~65,강릉,60,14,1.4,중복,영동선,500,37.23903239,127.2891418
강원,이천,영동선,60~65,서창,60,7,0.7,중복,영동선,500,37.23903239,127.2891418
강원,이천,영동선,65~70,강릉,65,6,0.6,중복,영동선,500,37.25188916,127.341751
강원,이천,영동선,70~75,서창,70,3,0.6,상반기,영동선,500,37.23998333,127.3924944
강원,이천,중부내륙선,265~270,양평,265,3,0.6,상반기,중부내륙선,450,37.22667332,127.591999
강원,이천,중부내륙선,270~275,양평,270,5,1,상반기,중부내륙선,450,37.27041539,127.58192
강원,이천,중부내륙선,270~275,창원,270,4,0.8,상반기,중부내륙선,450,37.27041539,127.58192
강원,대관령,영동선,210~215,인천,210,4,0.8,상반기,영동선,500,37.68172555,128.6767718
강원,대관령,영동선,185~190,인천,185,3,0.6,상반기,영동선,500,37.60719163,128.4296797
강원,원주,영동선,100~105,강릉,100,3,0.6,상반기,영동선,500,37.24914842,127.7146223
강원,원주,영동선,95~100,인천,95,3,0.6,하반기,영동선,500,37.25375187,127.659495
강원,이천,중부내륙선,280~285,창원,280,4,0.8,하반기,중부내륙선,450,37.34736707,127.5419668
강원,홍천,중앙선,315~320,부산,315,12,1.2,중복,중앙선,550,37.34098708,127.9125914
강원,홍천,중앙선,315~320,춘천,315,9,0.9,중복,중앙선,550,37.34098708,127.9125914
강원,홍천,중앙선,320~325,부산,320,4,0.8,상반기,중앙선,550,37.38295623,127.8938802
강원,홍천,중앙선,325~330,부산,325,4,0.8,상반기,중앙선,550,37.41832587,127.916969
강원,홍천,중앙선,330~335,부산,330,5,1,상반기,중앙선,550,37.45675982,127.936538
강원,홍천,중앙선,345~350,부산,345,3,0.6,상반기,중앙선,550,37.57288407,127.9732079
강원,홍천,중앙선,360~365,부산,360,9,0.9,중복,중앙선,550,37.67018364,127.8743817
강원,홍천,중앙선,360~365,춘천,360,6,0.6,중복,중앙선,550,37.67018364,127.8743817
강원,홍천,중앙선,370~375,부산,370,4,0.8,상반기,중앙선,550,37.72454322,127.7967581
강원,홍천,중앙선,370~375,춘천,370,3,0.6,하반기,중앙선,550,37.72454322,127.7967581
강원,강릉,동해선,50~55,속초,50,5,0.5,중복,동해선,650,37.69083783,128.8971321
광주전남,구례,순천완주선,50~55,순천,50,5,1,상반기,순천완주선,270,35.34066554,127.3509745
광주전남,구례,순천완주선,55~60,완주,55,5,1,상반기,순천완주선,270,35.37965981,127.3237419
광주전남,구례,순천완주선,75~80,순천,75,4,0.8,상반기,순천완주선,270,35.5473521,127.3149054
대구경북,영천,대구포항선,25~30,대구,25,4,0.8,상반기,대구포항선,207,36.01521806,128.8826171
대구경북,영천,대구포항선,20~25,대구,20,3,0.6,상반기,대구포항선,207,35.98051263,128.8477373
대구경북,청송,당진영덕선,135~140,영덕,135,4,0.8,상반기,청주상주선,303,36.42194292,128.8219773
대구경북,영주,중앙선,215~220,춘천,215,4,0.4,중복,중앙선,550,36.72708471,128.5755127
대구경북,영주,중앙선,180~185,부산,180,3,0.6,상반기,중앙선,550,36.4786835,128.6178161
대전충남,대전,서천공주선,10~15,서천,10,5,1,상반기,서천공주선,1510,36.12754749,126.7663718
대전충남,영동,경부선,225~230,부산,225,3,0.6,상반기,경부선,10,36.21975958,127.8809713
대전충남,천안,경부선,310~315,서울,310,4,0.8,상반기,경부선,10,36.66848896,127.3727573
대전충남,천안,경부선,310~315,부산,310,3,0.6,상반기,경부선,10,36.66848896,127.3727573
대전충남,대전,서천공주선,20~25,서천,20,3,0.6,상반기,서천공주선,1510,36.21674456,126.7772633
대전충남,영동,경부선,230~235,부산,230,3,0.6,상반기,경부선,10,36.25403093,127.8531751
대전충남,영동,경부선,255~260,부산,255,5,0.5,중복,경부선,10,36.2948484,127.6029307
대전충남,천안,경부선,320~325,부산,320,5,1,상반기,경부선,10,36.72644825,127.3085103
대전충남,천안,경부선,330~335,부산,330,5,0.5,중복,경부선,10,36.76028949,127.217288
대전충남,대전,서천공주선,25~30,서천,25,3,0.6,상반기,서천공주선,1510,36.2578517,126.7980863
대전충남,영동,경부선,255~260,서울,255,4,0.4,중복,경부선,10,36.2948484,127.6029307
대전충남,영동,경부선,260~265,서울,260,4,0.8,하반기,경부선,10,36.31774985,127.5564176
대전충남,천안,경부선,340~345,부산,340,4,0.4,중복,경부선,10,36.8254311,127.1681066
대전충남,천안,경부선,340~345,서울,340,3,0.6,상반기,경부선,10,36.8254311,127.1681066
대전충남,당진,당진대전선,0~5,당진,0,3,0.6,상반기,당진대전선,305,36.85091501,126.6184162
대전충남,공주,당진대전선,10~15,당진,10,5,0.5,중복,당진대전선,305,36.78257846,126.6897475
대전충남,공주,당진대전선,10~15,대전,10,3,0.6,상반기,당진대전선,305,36.78257846,126.6897475
대전충남,공주,당진대전선,20~25,당진,20,5,0.5,중복,당진대전선,305,36.7140194,126.7590962
대전충남,공주,당진대전선,30~35,당진,30,3,0.6,상반기,당진대전선,305,36.64697595,126.825385
대전충남,공주,당진대전선,40~45,당진,40,4,0.4,중복,당진대전선,305,36.59005306,126.9009977
대전충남,공주,당진대전선,45~50,당진,45,3,0.6,상반기,당진대전선,305,36.57359905,126.95119
대전충남,공주,당진대전선,55~60,대전,55,3,0.6,상반기,당진대전선,305,36.50495053,127.0121259
대전충남,공주,당진대전선,60~65,대전,60,6,1.2,상반기,당진대전선,305,36.48478628,127.0585342
대전충남,공주,당진대전선,60~65,당진,60,5,1,상반기,당진대전선,305,36.48478628,127.0585342
대전충남,공주,당진대전선,65~70,당진,65,8,0.8,중복,당진대전선,305,36.48682968,127.1135605
대전충남,공주,당진대전선,65~70,대전,65,3,0.6,상반기,당진대전선,305,36.48682968,127.1135605
대전충남,공주,당진대전선,70~75,대전,70,11,2.2,상반기,당진대전선,305,36.49757058,127.1654894
대전충남,당진,서해안선,230~235,서울,230,4,0.8,상반기,당진대전선,305,36.64432477,126.5561056
대전충남,당진,서해안선,240~245,목포,240,3,0.6,상반기,서해안선,150,36.73237025,126.5639501
대전충남,당진,서해안선,245~250,서울,245,4,0.8,상반기,당진대전선,305,36.77628719,126.5663638
대전충남,공주,당진대전선,70~75,당진,70,6,1.2,상반기,당진대전선,305,36.49757058,127.1654894
대전충남,공주,당진대전선,75~80,당진,75,9,1.8,상반기,당진대전선,305,36.48780468,127.2162696
대전충남,공주,당진대전선,80~85,당진,80,10,2,상반기,당진대전선,305,36.45888886,127.2501974
대전충남,공주,당진대전선,80~85,대전,80,3,0.6,상반기,당진대전선,305,36.45888886,127.2501974
대전충남,공주,당진대전선,85~90,당진,85,5,1,상반기,당진대전선,305,36.42787177,127.2883162
대전충남,공주,당진대전선,85~90,대전,85,5,1,상반기,당진대전선,305,36.42787177,127.2883162
대전충남,당진,서해안선,250~255,서울,250,4,0.4,중복,당진대전선,305,36.91897632,126.7592698
대전충남,당진,서해안선,265~270,목포,265,3,0.6,상반기,당진대전선,305,36.89619104,126.7118658
대전충남,대전,서천공주선,30~35,서천,30,3,0.6,상반기,서천공주선,1510,36.28728694,126.8384186
대전충남,대전,서천공주선,40~45,서천,40,3,0.6,상반기,서천공주선,1510,36.35325241,126.9134826
대전충남,부여,서천공주선,25~30,공주,25,3,0.6,상반기,서천공주선,1510,36.2578517,126.7980863
대전충남,대전,서천공주선,60~65,서천,60,8,0.8,중복,서천공주선,1510,36.47368018,127.0650887
대전충남,대전,경부선,275~280,서울,275,3,0.6,상반기,경부선,10,36.37954895,127.4275565
대전충남,대전,경부선,280~285,부산,280,6,0.6,중복,경부선,10,36.42173577,127.4182949
대전충남,대전,경부선,290~295,서울,290,4,0.8,상반기,경부선,10,36.50678565,127.428891
부산경남,서울산,경부선,5~10,서울,5,3,0.6,하반기,경부선,10,35.28664685,129.1011208
부산경남,진주,남해선,65~70,부산,65,3,0.6,상반기,남해선(순천부산),102,35.1122444,128.0823501
부산경남,창원,남해제1지선,0~5,산인,0,3,0.6,상반기,남해제1지선,1020,35.27140042,128.4744032
수도권,경기광주,중부선,325~330,통영,325,7,1.4,상반기,"통영대전선,중부선",350,37.24895728,127.4213701
수도권,경기광주,제2중부선,325~330,통영,325,4,0.8,하반기,제2중부선,370,37.28299638,127.3854826
수도권,경기광주,중부선,330~335,통영,330,12,1.2,중복,"통영대전선,중부선",350,37.28319266,127.38492
수도권,경기광주,제2중부선,330~335,통영,330,5,0.5,중복,제2중부선,370,37.28305944,127.3855901
수도권,경기광주,중부선,335~340,통영,335,15,1.5,중복,"통영대전선,중부선",350,37.31495746,127.347204
수도권,경기광주,중부선,325~330,하남,325,6,0.6,중복,"통영대전선,중부선",350,37.24895728,127.4213701
수도권,경기광주,중부선,330~335,하남,330,6,0.6,중복,"통영대전선,중부선",350,37.28319266,127.38492
수도권,경기광주,제2중부선,335~340,통영,335,4,0.8,상반기,제2중부선,370,37.31532541,127.3472754
수도권,경기광주,중부선,335~340,하남,335,3,0.6,상반기,"통영대전선,중부선",350,37.31495746,127.347204
수도권,경기광주,중부선,355~360,하남,355,3,0.6,상반기,"통영대전선,중부선",350,37.4667647,127.249511
수도권,경기광주,중부선,340~345,통영,340,9,0.9,중복,"통영대전선,중부선",350,37.3536425,127.3205395
수도권,경기광주,중부선,350~355,통영,350,4,0.8,하반기,"통영대전선,중부선",350,37.43892702,127.2891253
수도권,경기광주,중부선,360~365,통영,360,6,0.6,중복,"통영대전선,중부선",350,37.50779378,127.227249
수도권,경기광주,제2중부선,345~350,하남,345,3,0.6,상반기,제2중부선,370,37.39826163,127.3109912
수도권,동서울,서울외곽순환선,115~120,판교,115,3,0.6,상반기,서울외곽순환선,1000,37.37918532,126.9574134
전북,보령,서해안선,155~160,목포,155,3,0.6,하반기,서해안선,150,36.07055256,126.7431944
전북,보령,서해안선,200~205,목포,200,5,0.5,중복,서해안선,150,36.38716078,126.5552914
전북,보령,서해안선,205~210,목포,205,3,0.6,하반기,서해안선,150,36.42683592,126.5767558
전북,보령,서해안선,220~225,서울,220,3,0.6,하반기,서해안선,150,36.55869543,126.5794765
전북,전주,호남선,165~170,순천,165,3,0.6,상반기,"논산천안선,호남선",250,35.84029013,127.0427432
전북,전주,호남선,135~140,천안,135,3,0.6,상반기,"논산천안선,호남선",250,35.61883789,126.8805539
전북,무주,중부선,170~175,하남,170,3,0.6,하반기,"통영대전선,중부선",350,35.99423628,127.6043356
전북,무주,중부선,170~175,통영,170,3,0.6,하반기,"통영대전선,중부선",350,35.99423628,127.6043356
전북,무주,중부선,185~190,통영,185,8,0.8,중복,"통영대전선,중부선",350,36.10547829,127.5178612
전북,무주,중부선,190~195,하남,190,3,0.6,상반기,"통영대전선,중부선",350,36.14637535,127.5073687
전북,무주,중부선,205~210,통영,205,3,0.6,하반기,"통영대전선,중부선",350,36.26860087,127.469419
전북,논산,호남지선,5~10,대전,5,5,0.5,중복,호남선의 지선,2510,36.11999838,127.1295409
전북,논산,호남지선,20~25,논산,20,4,0.8,상반기,호남선의 지선,2510,36.18836587,127.2525843
충북,보은,청주상주선,5~10,상주,5,3,0.6,상반기,청주상주선,303,36.54586033,127.479322
충북,보은,청주상주선,15~20,청주,15,3,0.6,상반기,청주상주선,303,36.50889424,127.5774168
충북,보은,청주상주선,35~40,상주,35,5,1,상반기,청주상주선,303,36.45529825,127.7801827
충북,보은,청주상주선,40~45,상주,40,7,0.7,중복,청주상주선,303,36.45562475,127.8359285
충북,보은,청주상주선,40~45,상주,40,5,0.5,중복,청주상주선,303,36.45562475,127.8359285
충북,보은,청주상주선,45~50,상주,45,7,0.7,중복,청주상주선,303,36.44741086,127.8883615
충북,보은,청주상주선,70~75,상주,70,10,1,중복,청주상주선,303,36.36991838,128.1320701
충북,보은,청주상주선,70~75,청주,70,5,0.5,중복,청주상주선,303,36.36991838,128.1320701
충북,진천,중부선,250~255,통영,250,3,0.6,하반기,"통영대전선,중부선",350,36.62226641,127.4202485
충북,진천,중부선,265~270,하남,265,3,0.6,하반기,"통영대전선,중부선",350,36.745619,127.4691291
충북,진천,중부선,285~290,통영,285,4,0.4,중복,"통영대전선,중부선",350,36.90295427,127.4761971
충북,진천,중부선,295~300,통영,295,5,1,상반기,"통영대전선,중부선",350,36.99133408,127.474735
충북,진천,중부선,295~300,하남,295,4,0.8,상반기,"통영대전선,중부선",350,36.99133408,127.474735
충북,진천,중부선,310~315,통영,310,4,0.8,상반기,"통영대전선,중부선",350,37.11851464,127.4448231
충북,진천,중부선,315~320,하남,315,4,0.4,중복,"통영대전선,중부선",350,37.16308808,127.4400351
충북,진천,중부선,320~325,하남,320,3,0.6,상반기,"통영대전선,중부선",350,37.20776473,127.4422137
충북,제천,중앙선,270~275,부산,270,4,0.8,상반기,중앙선,550,37.05124758,128.2059482
충북,제천,중앙선,270~275,춘천,270,4,0.4,중복,중앙선,550,37.05124758,128.2059482
충북,제천,중앙선,275~280,부산,275,11,1.1,중복,중앙선,550,37.08378056,128.1698621
충북,제천,중앙선,275~280,춘천,275,3,0.6,상반기,중앙선,550,37.08378056,128.1698621
충북,제천,중앙선,280~285,부산,280,8,0.8,중복,중앙선,550,37.12122317,128.1495986
충북,제천,중앙선,285~290,부산,285,4,0.8,상반기,중앙선,550,37.16116765,128.127351
충북,제천,중앙선,285~290,춘천,285,3,0.6,하반기,중앙선,550,37.16116765,128.127351
충북,제천,중앙선,290~295,부산,290,5,0.5,중복,중앙선,550,37.20204558,128.1182106
충북,제천,중앙선,290~295,춘천,290,4,0.8,상반기,중앙선,550,37.20204558,128.1182106
충북,제천,중앙선,295~300,춘천,295,5,0.5,중복,중앙선,550,37.23250758,128.0807089
충북,제천,중앙선,310~315,춘천,310,6,0.6,중복,중앙선,550,37.31322277,127.9552371
